42
4 3
29 3 ohniva
16 12 ledova
22 27 ledova
12 1 ledova
8 17 ohniva
29 14 ohniva
26 10 ohniva
16 1 ledova
19 26 ohniva
29 6 ledova
20 27 ohniva
23 0 ohniva
14 29 ledova
23 12 ohniva
6 2 ledova
26 18 ledova
30 5 ohniva
30 22 ohniva
17 30 ledova
14 10 ledova
17 10 ledova
6 8 ledova
6 21 ohniva
3 10 ledova
25 27 ledova
4 26 ohniva
12 17 ohniva
12 20 ohniva
1 0
62 124
7 37 ohniva
57 27 ohniva
57 34 ohniva
17 60 ledova
51 11 ledova
7 51 ohniva
45 10 ohniva
11 47 ohniva
38 57 ohniva
59 46 ledova
38 42 ledova
20 55 ohniva
5 49 ohniva
53 60 ohniva
26 39 ledova
47 28 ledova
41 30 ledova
27 6 ohniva
52 30 ohniva
48 36 ohniva
19 8 ledova
8 2 ohniva
54 19 ledova
18 19 ledova
21 57 ledova
44 41 ledova
35 24 ohniva
39 19 ledova
2 9 ledova
37 8 ohniva
51 45 ledova
41 43 ohniva
26 53 ohniva
30 53 ledova
54 6 ledova
55 13 ohniva
51 57 ohniva
26 3 ohniva
3 32 ohniva
34 23 ledova
51 8 ohniva
1 42 ledova
29 39 ohniva
10 18 ohniva
21 53 ohniva
39 17 ohniva
3 28 ledova
22 57 ohniva
37 23 ledova
57 45 ledova
11 58 ledova
52 40 ledova
59 34 ledova
56 37 ledova
12 11 ledova
14 57 ledova
51 36 ohniva
28 50 ohniva
24 8 ledova
33 29 ledova
56 53 ledova
56 49 ohniva
39 21 ohniva
36 24 ledova
6 39 ledova
17 27 ohniva
18 60 ledova
5 43 ledova
9 0 ledova
32 48 ledova
39 17 ledova
19 9 ledova
1 48 ohniva
40 3 ohniva
9 3 ledova
26 7 ledova
40 32 ohniva
35 23 ledova
24 9 ohniva
32 7 ohniva
39 24 ohniva
35 3 ledova
28 47 ohniva
25 22 ohniva
3 43 ohniva
43 34 ohniva
4 19 ohniva
4 29 ledova
15 7 ohniva
42 18 ohniva
52 14 ledova
44 17 ohniva
19 31 ledova
45 23 ledova
17 25 ohniva
11 42 ledova
14 16 ohniva
3 25 ledova
20 15 ledova
41 24 ledova
27 13 ledova
20 35 ohniva
35 8 ledova
24 29 ledova
39 51 ledova
11 36 ledova
11 35 ledova
48 14 ledova
4 45 ohniva
16 45 ohniva
61 12 ledova
5 9 ledova
6 45 ohniva
2 61 ledova
7 30 ohniva
37 29 ohniva
28 24 ledova
52 23 ohniva
32 38 ledova
60 24 ledova
57 27 ledova
30 28 ohniva
19 36 ledova
43 5 ohniva
42 41
25 26 ledova
20 21 ledova
35 36 ledova
22 23 ledova
4 5 ledova
5 6 ledova
39 40 ledova
3 4 ledova
37 38 ledova
40 41 ledova
0 1 ledova
36 37 ledova
26 27 ledova
29 30 ledova
31 32 ledova
16 17 ledova
13 14 ledova
14 15 ledova
17 18 ledova
30 31 ledova
6 7 ledova
21 22 ledova
27 28 ledova
38 39 ledova
18 19 ledova
7 8 ledova
15 16 ledova
12 13 ledova
8 9 ledova
32 33 ledova
1 2 ledova
34 35 ledova
24 25 ledova
19 20 ledova
10 11 ledova
28 29 ledova
2 3 ledova
11 12 ledova
23 24 ledova
9 10 ledova
33 34 ledova
14 13
9 10 ohniva
5 6 ohniva
7 8 ohniva
10 11 ledova
11 12 ohniva
6 7 ledova
12 13 ledova
4 5 ledova
0 1 ledova
8 9 ledova
2 3 ledova
3 4 ohniva
1 2 ohniva
3 3
0 1 ohniva
0 2 ledova
1 2 ledova
50 67
49 8 ledova
13 49 ledova
23 29 ohniva
20 41 ohniva
27 22 ledova
37 20 ohniva
2 24 ohniva
13 29 ohniva
40 6 ledova
36 23 ledova
5 43 ledova
38 19 ledova
37 7 ohniva
14 24 ledova
11 45 ohniva
23 0 ledova
45 3 ledova
11 31 ohniva
24 41 ohniva
7 16 ledova
5 30 ohniva
42 1 ohniva
25 36 ohniva
14 31 ohniva
0 17 ohniva
18 31 ohniva
13 7 ledova
31 27 ohniva
8 27 ohniva
19 44 ledova
13 24 ohniva
10 49 ledova
39 2 ledova
49 3 ohniva
32 36 ledova
44 16 ohniva
40 29 ohniva
23 37 ohniva
0 35 ohniva
38 7 ohniva
47 28 ledova
2 5 ledova
18 46 ohniva
11 49 ledova
13 20 ohniva
14 36 ohniva
26 25 ledova
20 25 ledova
16 18 ledova
48 10 ledova
42 1 ledova
1 43 ledova
20 27 ohniva
47 13 ohniva
31 25 ohniva
30 40 ledova
32 40 ledova
10 27 ledova
20 26 ohniva
13 34 ohniva
49 5 ohniva
31 17 ohniva
8 19 ledova
4 19 ohniva
27 45 ledova
19 2 ohniva
18 14 ledova
13 12
11 12 ohniva
7 8 ohniva
8 9 ledova
9 10 ohniva
4 5 ledova
0 1 ledova
5 6 ohniva
2 3 ledova
3 4 ohniva
1 2 ohniva
10 11 ledova
6 7 ledova
73 271
46 69 ledova
44 54 ledova
54 68 ledova
42 64 ohniva
11 66 ohniva
32 0 ledova
60 48 ledova
8 46 ledova
25 61 ledova
11 0 ohniva
50 40 ledova
45 30 ohniva
34 14 ohniva
26 9 ledova
19 12 ledova
68 6 ledova
14 27 ledova
24 46 ohniva
6 46 ohniva
50 45 ohniva
24 1 ledova
40 14 ohniva
50 23 ledova
23 51 ohniva
12 9 ohniva
50 39 ledova
34 33 ledova
32 16 ledova
23 52 ledova
23 57 ledova
15 14 ohniva
36 59 ledova
48 72 ohniva
0 27 ledova
31 3 ledova
55 63 ledova
69 6 ledova
20 38 ohniva
7 34 ledova
39 59 ohniva
3 12 ohniva
8 55 ohniva
58 2 ohniva
27 68 ledova
17 46 ledova
47 0 ohniva
26 33 ledova
4 8 ohniva
2 51 ohniva
25 4 ohniva
51 16 ledova
70 6 ohniva
4 53 ohniva
43 28 ledova
45 23 ohniva
70 60 ledova
59 35 ledova
21 45 ohniva
11 70 ohniva
41 10 ledova
56 23 ledova
48 61 ohniva
54 55 ledova
0 1 ohniva
4 12 ohniva
44 29 ledova
25 38 ledova
1 32 ohniva
69 61 ohniva
32 71 ledova
11 9 ohniva
5 66 ledova
2 63 ohniva
48 63 ohniva
62 68 ohniva
2 36 ledova
55 9 ledova
64 66 ledova
69 25 ohniva
49 63 ledova
71 22 ledova
18 31 ledova
13 40 ohniva
21 44 ledova
46 61 ohniva
44 26 ohniva
59 72 ohniva
28 26 ohniva
17 57 ohniva
30 39 ohniva
11 46 ohniva
23 15 ohniva
3 61 ohniva
38 57 ohniva
69 3 ledova
56 51 ohniva
23 53 ledova
40 51 ohniva
36 46 ledova
39 16 ledova
39 58 ohniva
35 9 ledova
25 68 ohniva
37 46 ohniva
64 52 ledova
0 72 ohniva
52 67 ledova
0 28 ledova
17 2 ledova
37 60 ohniva
5 54 ohniva
56 64 ledova
37 50 ledova
35 14 ledova
14 26 ohniva
51 38 ohniva
51 71 ledova
33 48 ohniva
4 30 ohniva
4 19 ledova
1 10 ledova
32 56 ledova
22 8 ledova
19 58 ohniva
33 4 ledova
41 45 ledova
61 58 ledova
22 57 ohniva
8 44 ledova
49 44 ledova
3 20 ohniva
39 9 ohniva
20 50 ohniva
1 54 ohniva
72 62 ledova
44 72 ledova
26 65 ledova
48 32 ohniva
13 63 ledova
62 1 ohniva
71 5 ledova
66 39 ledova
10 34 ohniva
42 55 ledova
35 39 ohniva
26 50 ledova
72 25 ohniva
68 8 ledova
56 68 ledova
60 54 ledova
18 5 ohniva
32 22 ohniva
4 41 ohniva
62 11 ledova
35 7 ledova
63 67 ohniva
4 34 ledova
59 9 ohniva
9 23 ledova
33 27 ohniva
14 51 ledova
8 22 ohniva
0 1 ohniva
47 4 ledova
46 1 ledova
20 1 ohniva
34 6 ohniva
37 46 ledova
70 65 ohniva
34 2 ledova
14 0 ohniva
71 1 ohniva
36 19 ledova
7 49 ohniva
60 69 ohniva
14 69 ohniva
68 13 ohniva
50 68 ledova
46 26 ledova
10 3 ledova
46 8 ledova
4 31 ledova
11 10 ohniva
30 14 ledova
66 67 ledova
62 71 ohniva
60 53 ohniva
1 3 ledova
5 70 ledova
56 0 ohniva
21 62 ledova
4 0 ledova
45 44 ledova
18 1 ohniva
60 69 ohniva
69 45 ledova
31 9 ohniva
46 50 ohniva
61 14 ohniva
12 43 ohniva
58 34 ledova
22 44 ohniva
54 36 ledova
17 38 ledova
32 68 ledova
55 67 ohniva
11 27 ohniva
47 46 ohniva
54 34 ohniva
54 40 ledova
18 45 ohniva
61 64 ohniva
19 38 ohniva
36 35 ohniva
32 24 ohniva
49 65 ohniva
22 39 ohniva
3 39 ledova
30 15 ohniva
18 24 ohniva
47 30 ledova
36 11 ohniva
21 1 ohniva
43 22 ledova
60 9 ledova
44 6 ledova
16 3 ledova
63 66 ohniva
26 70 ohniva
27 5 ohniva
46 48 ledova
29 4 ohniva
71 53 ohniva
12 67 ohniva
4 49 ohniva
8 58 ohniva
22 69 ledova
64 7 ohniva
39 2 ohniva
2 59 ledova
63 21 ledova
22 59 ledova
20 55 ohniva
32 33 ohniva
45 49 ohniva
40 3 ohniva
49 36 ohniva
40 15 ohniva
48 57 ohniva
45 49 ledova
34 21 ledova
45 37 ledova
46 8 ledova
3 70 ledova
29 45 ledova
62 48 ledova
4 17 ledova
10 37 ledova
53 17 ledova
21 62 ohniva
52 40 ohniva
8 36 ohniva
6 58 ledova
45 21 ohniva
8 59 ledova
21 40 ohniva
3 51 ledova
25 42 ohniva
27 1 ohniva
43 16 ledova
64 50 ledova
17 16
1 2 ohniva
11 12 ohniva
14 15 ledova
12 13 ledova
9 10 ohniva
2 3 ledova
5 6 ohniva
3 4 ohniva
8 9 ledova
6 7 ledova
0 1 ledova
7 8 ohniva
13 14 ohniva
10 11 ledova
4 5 ledova
15 16 ohniva
29 52
22 11 ohniva
28 11 ledova
27 6 ledova
1 27 ohniva
18 1 ledova
25 3 ohniva
15 20 ohniva
15 7 ohniva
10 27 ledova
28 13 ohniva
5 4 ledova
0 24 ledova
10 7 ledova
6 10 ohniva
21 0 ohniva
13 2 ledova
19 13 ledova
20 5 ohniva
1 11 ohniva
3 18 ohniva
18 8 ohniva
0 4 ohniva
22 6 ledova
16 19 ledova
7 1 ledova
20 5 ledova
19 22 ohniva
1 28 ohniva
4 17 ledova
17 26 ohniva
14 11 ledova
14 19 ohniva
5 1 ledova
11 20 ohniva
12 25 ledova
3 18 ledova
11 15 ledova
7 17 ledova
26 4 ledova
6 12 ledova
8 21 ohniva
28 18 ledova
14 16 ohniva
15 21 ohniva
15 23 ledova
6 17 ohniva
7 8 ledova
17 22 ohniva
9 8 ohniva
7 6 ledova
3 26 ohniva
18 17 ledova
100 750
3 22 ledova
12 8 ledova
0 18 ledova
16 85 ledova
23 2 ohniva
55 18 ledova
1 69 ledova
86 44 ledova
75 93 ohniva
60 75 ledova
59 98 ledova
57 98 ledova
7 84 ohniva
8 36 ledova
78 69 ledova
97 78 ohniva
99 23 ohniva
5 3 ohniva
44 70 ledova
89 79 ledova
85 44 ledova
60 83 ohniva
7 72 ohniva
95 60 ledova
56 89 ohniva
4 96 ohniva
52 30 ohniva
23 9 ohniva
61 44 ledova
71 99 ledova
55 24 ohniva
49 48 ledova
68 35 ledova
88 0 ledova
32 67 ohniva
44 33 ledova
53 81 ledova
44 96 ledova
39 79 ledova
89 23 ledova
65 50 ledova
47 99 ohniva
7 35 ledova
1 63 ledova
17 81 ledova
13 59 ohniva
78 5 ledova
27 86 ohniva
82 70 ledova
10 49 ledova
85 44 ohniva
77 61 ohniva
2 27 ledova
19 39 ledova
15 88 ohniva
27 48 ohniva
75 85 ledova
29 88 ledova
94 27 ledova
12 4 ohniva
55 86 ledova
33 8 ohniva
69 9 ohniva
62 49 ledova
56 17 ledova
84 51 ledova
32 62 ohniva
62 10 ohniva
93 18 ohniva
66 69 ohniva
4 93 ledova
34 45 ohniva
5 34 ohniva
66 8 ledova
13 93 ohniva
97 82 ledova
33 23 ohniva
88 85 ledova
55 80 ohniva
84 77 ohniva
28 87 ohniva
26 74 ohniva
89 84 ohniva
62 20 ohniva
36 11 ledova
48 96 ohniva
21 28 ledova
38 5 ohniva
98 59 ledova
74 1 ledova
53 56 ledova
7 77 ohniva
60 67 ledova
35 9 ohniva
57 21 ohniva
2 0 ledova
44 6 ledova
16 7 ohniva
73 58 ledova
68 60 ledova
15 39 ledova
56 65 ledova
96 13 ohniva
94 81 ledova
18 13 ledova
17 60 ledova
98 22 ohniva
14 70 ledova
61 99 ledova
46 79 ohniva
69 18 ledova
8 88 ledova
33 62 ledova
47 89 ohniva
89 68 ledova
33 48 ledova
4 60 ledova
40 82 ledova
8 15 ledova
41 23 ohniva
45 78 ledova
55 35 ohniva
22 76 ohniva
80 75 ohniva
96 1 ledova
73 6 ledova
37 39 ledova
31 14 ohniva
72 28 ledova
46 84 ledova
90 68 ohniva
32 72 ledova
3 88 ohniva
64 41 ohniva
7 60 ledova
95 89 ledova
65 3 ohniva
87 78 ohniva
8 79 ledova
48 25 ohniva
9 75 ledova
17 61 ohniva
24 28 ohniva
4 79 ohniva
42 19 ledova
21 94 ledova
5 62 ledova
80 41 ledova
31 87 ohniva
47 85 ledova
60 43 ledova
64 13 ledova
90 31 ledova
61 13 ledova
69 45 ledova
94 61 ledova
49 91 ohniva
62 12 ledova
28 49 ledova
50 75 ledova
88 50 ohniva
26 66 ledova
46 78 ledova
78 12 ledova
68 72 ohniva
68 90 ledova
75 25 ledova
60 45 ohniva
56 82 ledova
45 32 ledova
48 44 ohniva
20 14 ohniva
32 30 ohniva
37 25 ledova
94 29 ledova
70 24 ledova
12 17 ohniva
59 19 ledova
35 52 ohniva
63 48 ledova
5 74 ohniva
32 1 ledova
50 47 ledova
99 93 ledova
61 92 ohniva
39 18 ohniva
69 59 ohniva
60 98 ohniva
44 61 ledova
82 41 ledova
0 38 ledova
90 0 ledova
31 68 ledova
75 3 ledova
42 12 ohniva
13 30 ohniva
69 23 ledova
1 7 ledova
26 83 ohniva
63 43 ohniva
62 75 ohniva
3 37 ohniva
38 89 ohniva
24 83 ohniva
24 17 ohniva
90 35 ohniva
16 96 ohniva
62 32 ledova
58 56 ledova
22 40 ledova
33 83 ledova
78 73 ledova
4 69 ledova
99 46 ohniva
36 27 ohniva
72 74 ohniva
84 98 ledova
70 83 ohniva
61 90 ledova
95 90 ohniva
99 36 ohniva
22 32 ohniva
96 10 ledova
75 33 ledova
46 62 ledova
14 71 ohniva
57 1 ledova
48 17 ohniva
1 71 ohniva
14 38 ohniva
34 13 ohniva
3 72 ohniva
66 85 ledova
68 64 ohniva
10 53 ledova
32 31 ohniva
48 97 ohniva
83 52 ohniva
53 67 ohniva
12 38 ledova
88 57 ohniva
76 97 ledova
34 8 ohniva
56 69 ohniva
88 29 ledova
78 85 ledova
70 37 ledova
47 18 ohniva
53 80 ledova
92 38 ledova
68 90 ledova
17 37 ledova
70 82 ohniva
8 13 ledova
30 6 ledova
37 28 ledova
83 62 ledova
2 3 ledova
54 10 ledova
94 11 ledova
13 19 ohniva
46 47 ledova
93 25 ledova
33 76 ledova
6 17 ledova
84 98 ohniva
39 1 ledova
67 34 ledova
35 83 ohniva
80 45 ledova
30 45 ledova
82 7 ohniva
25 93 ledova
25 79 ohniva
33 15 ledova
54 6 ledova
49 1 ohniva
30 51 ledova
0 84 ledova
83 70 ledova
74 98 ohniva
21 66 ledova
31 28 ohniva
43 35 ohniva
96 90 ohniva
7 51 ohniva
91 25 ledova
96 5 ledova
1 90 ohniva
39 45 ledova
48 84 ledova
12 41 ohniva
42 18 ohniva
34 1 ohniva
47 86 ohniva
7 14 ledova
1 22 ledova
27 25 ledova
49 21 ohniva
92 65 ledova
92 46 ohniva
70 92 ohniva
71 22 ledova
29 79 ohniva
10 63 ledova
81 47 ledova
91 84 ledova
44 98 ledova
83 95 ohniva
94 31 ohniva
66 25 ledova
14 78 ohniva
5 7 ohniva
22 93 ohniva
52 72 ledova
21 77 ohniva
2 94 ledova
29 57 ledova
89 26 ledova
15 43 ledova
49 67 ledova
30 95 ledova
40 6 ledova
64 45 ledova
45 81 ledova
77 36 ledova
22 64 ohniva
87 95 ledova
43 91 ledova
99 84 ledova
11 59 ohniva
16 22 ledova
26 28 ohniva
20 30 ohniva
31 49 ledova
44 56 ledova
55 35 ledova
55 26 ohniva
68 90 ohniva
8 26 ohniva
14 21 ledova
23 30 ohniva
92 94 ohniva
60 77 ohniva
5 83 ledova
2 44 ohniva
39 60 ohniva
11 60 ohniva
81 34 ohniva
91 8 ledova
8 84 ledova
50 60 ledova
32 90 ledova
64 33 ledova
52 10 ledova
27 10 ledova
90 67 ledova
92 1 ohniva
3 16 ohniva
96 81 ledova
46 32 ohniva
89 9 ohniva
87 68 ohniva
75 37 ohniva
2 7 ohniva
83 98 ledova
76 1 ledova
26 77 ledova
65 12 ohniva
28 78 ledova
80 37 ledova
32 49 ohniva
67 80 ledova
79 43 ledova
12 22 ledova
7 74 ledova
85 90 ohniva
88 74 ledova
33 94 ohniva
31 1 ohniva
21 38 ledova
95 9 ohniva
6 2 ledova
35 88 ledova
24 54 ohniva
84 14 ohniva
42 97 ledova
89 17 ohniva
93 29 ledova
17 6 ledova
28 50 ohniva
15 86 ledova
57 56 ohniva
28 64 ledova
88 22 ohniva
65 25 ledova
47 50 ohniva
91 81 ledova
81 67 ohniva
75 95 ledova
37 67 ohniva
29 63 ledova
31 51 ledova
13 5 ohniva
48 12 ledova
96 13 ledova
84 73 ledova
83 40 ledova
29 28 ohniva
55 9 ohniva
57 30 ohniva
69 3 ohniva
75 24 ledova
28 54 ledova
57 69 ohniva
82 52 ledova
30 44 ledova
5 57 ohniva
53 63 ledova
37 49 ohniva
4 79 ledova
19 95 ohniva
85 58 ohniva
92 48 ohniva
26 53 ledova
52 20 ledova
74 99 ledova
94 6 ohniva
98 78 ledova
79 9 ledova
10 39 ledova
17 32 ledova
90 73 ohniva
36 65 ohniva
2 73 ledova
3 2 ledova
66 28 ledova
3 43 ohniva
76 30 ledova
7 83 ohniva
60 27 ledova
77 75 ledova
12 97 ohniva
53 47 ledova
16 35 ledova
42 37 ohniva
50 29 ledova
63 28 ohniva
73 87 ledova
97 92 ledova
49 27 ledova
78 3 ohniva
11 95 ledova
30 28 ledova
35 70 ohniva
26 59 ledova
20 84 ohniva
41 15 ledova
59 33 ledova
87 46 ledova
50 29 ohniva
9 5 ohniva
51 52 ledova
38 52 ohniva
43 68 ledova
7 12 ohniva
21 6 ledova
6 92 ohniva
33 77 ohniva
99 52 ledova
5 56 ledova
80 97 ledova
31 79 ohniva
93 21 ledova
0 57 ledova
83 81 ledova
18 64 ledova
7 92 ohniva
42 37 ledova
36 7 ohniva
21 95 ohniva
85 81 ledova
79 74 ledova
32 17 ledova
52 96 ledova
49 24 ledova
72 61 ledova
15 72 ohniva
23 84 ohniva
94 68 ledova
80 47 ledova
57 11 ledova
58 13 ledova
35 68 ledova
5 33 ohniva
47 70 ledova
47 53 ohniva
26 33 ohniva
1 20 ohniva
97 60 ledova
92 18 ledova
14 54 ledova
45 88 ohniva
32 70 ohniva
3 48 ohniva
98 90 ledova
18 12 ledova
35 96 ohniva
12 56 ledova
38 69 ohniva
44 89 ohniva
62 39 ledova
86 65 ledova
86 25 ohniva
76 96 ledova
39 35 ohniva
56 42 ledova
28 91 ohniva
23 72 ledova
0 86 ledova
58 14 ohniva
49 32 ledova
82 93 ohniva
67 76 ledova
13 98 ohniva
3 77 ohniva
2 45 ledova
95 64 ohniva
9 57 ledova
78 62 ohniva
64 82 ohniva
94 3 ledova
63 37 ledova
62 11 ohniva
86 2 ohniva
67 61 ohniva
29 15 ledova
28 90 ohniva
36 1 ohniva
39 67 ohniva
60 40 ledova
3 94 ledova
13 70 ledova
68 85 ledova
36 37 ohniva
30 66 ledova
10 75 ohniva
57 61 ohniva
2 77 ledova
28 9 ledova
27 64 ohniva
13 82 ledova
83 34 ohniva
78 0 ohniva
56 18 ohniva
45 85 ledova
61 12 ohniva
48 22 ohniva
16 73 ohniva
58 53 ohniva
73 96 ohniva
88 16 ohniva
51 35 ledova
67 79 ledova
47 64 ohniva
17 80 ledova
98 95 ohniva
78 68 ohniva
16 85 ohniva
34 50 ohniva
91 38 ledova
31 57 ohniva
78 20 ledova
71 22 ledova
93 39 ohniva
3 51 ohniva
43 66 ledova
81 86 ledova
36 61 ledova
94 14 ledova
66 4 ledova
59 46 ledova
19 34 ohniva
42 77 ledova
20 57 ledova
38 23 ohniva
50 20 ledova
28 23 ohniva
92 42 ohniva
44 70 ohniva
82 60 ohniva
56 35 ohniva
77 98 ohniva
39 15 ledova
71 1 ohniva
21 42 ledova
38 78 ledova
91 34 ledova
40 47 ledova
69 96 ohniva
78 55 ledova
8 68 ledova
38 2 ledova
81 64 ledova
2 82 ledova
40 61 ledova
78 27 ohniva
31 12 ohniva
68 43 ohniva
37 56 ohniva
82 89 ledova
40 77 ohniva
41 13 ohniva
74 69 ohniva
21 13 ledova
68 50 ohniva
60 59 ledova
17 58 ohniva
13 54 ohniva
27 50 ohniva
69 80 ledova
56 94 ohniva
64 23 ohniva
89 4 ledova
33 15 ledova
57 56 ohniva
36 32 ledova
52 11 ohniva
88 98 ledova
62 74 ohniva
97 74 ledova
0 77 ohniva
84 67 ohniva
82 64 ohniva
82 31 ohniva
2 9 ohniva
56 35 ohniva
11 52 ohniva
12 22 ledova
18 72 ohniva
83 26 ohniva
33 69 ohniva
88 10 ledova
93 13 ledova
58 41 ohniva
83 97 ohniva
87 5 ohniva
99 22 ohniva
54 35 ohniva
0 83 ohniva
21 55 ohniva
96 0 ohniva
25 19 ohniva
0 37 ledova
51 0 ohniva
7 76 ohniva
21 78 ledova
86 26 ohniva
71 18 ledova
25 67 ohniva
29 66 ohniva
94 18 ohniva
24 40 ledova
7 11 ledova
27 95 ledova
50 0 ohniva
53 3 ohniva
51 40 ohniva
35 49 ledova
97 84 ohniva
84 59 ledova
65 12 ledova
91 8 ledova
27 86 ledova
11 1 ledova
9 43 ledova
62 77 ohniva
28 31 ohniva
86 97 ledova
28 42 ledova
15 7 ledova
11 26 ledova
29 58 ohniva
45 2 ohniva
76 25 ohniva
16 61 ohniva
11 93 ledova
30 0 ledova
29 51 ohniva
23 86 ledova
12 39 ohniva
3 49 ledova
22 27 ohniva
80 26 ledova
26 98 ledova
40 2 ohniva
4 16 ohniva
47 85 ohniva
3 34 ledova
96 52 ohniva
74 43 ledova
26 4 ohniva
29 36 ohniva
69 29 ledova
75 76 ohniva
18 94 ledova
95 77 ledova
31 12 ledova
3 88 ledova
72 96 ledova
25 68 ohniva
94 0 ohniva
5 88 ohniva
63 41 ohniva
35 98 ledova
76 27 ledova
39 38 ledova
9 22 ledova
40 81 ohniva
96 11 ohniva
44 18 ohniva
1 46 ohniva
46 30 ledova
89 97 ledova
79 81 ohniva
38 70 ohniva
48 10 ledova
21 45 ledova
82 50 ohniva
49 81 ledova
43 23 ledova
48 7 ledova
83 69 ohniva
20 19 ledova
63 54 ohniva
59 88 ledova
53 89 ledova
16 49 ohniva
2 40 ohniva
86 62 ledova
38 97 ohniva
48 81 ohniva
60 71 ohniva
91 16 ohniva
93 48 ohniva
80 95 ledova
88 42 ledova
9 60 ledova
0 99 ledova
67 34 ohniva
5 5
2 3 ledova
1 2 ledova
3 4 ledova
1 2 ohniva
0 1 ohniva
27 87
4 23 ohniva
5 19 ledova
3 26 ohniva
5 10 ledova
12 13 ledova
23 17 ohniva
26 17 ohniva
10 6 ohniva
12 20 ledova
13 25 ledova
10 13 ledova
17 5 ohniva
18 25 ledova
4 11 ohniva
7 22 ohniva
18 13 ohniva
13 7 ledova
9 22 ohniva
17 15 ledova
14 15 ledova
13 16 ohniva
5 22 ohniva
12 17 ohniva
19 24 ohniva
16 26 ohniva
19 15 ledova
6 21 ledova
3 15 ledova
14 13 ledova
8 10 ledova
26 14 ledova
3 19 ohniva
13 19 ohniva
15 12 ohniva
5 14 ledova
7 12 ledova
1 11 ledova
13 24 ohniva
19 0 ohniva
23 11 ohniva
13 14 ohniva
16 1 ohniva
17 12 ohniva
5 17 ledova
8 19 ohniva
26 11 ohniva
15 26 ohniva
9 16 ohniva
12 6 ohniva
17 2 ledova
8 13 ohniva
1 20 ledova
5 23 ohniva
3 24 ledova
19 18 ohniva
6 12 ledova
15 22 ohniva
23 21 ohniva
17 24 ohniva
3 25 ohniva
18 1 ohniva
20 3 ledova
1 24 ohniva
23 24 ohniva
13 5 ohniva
8 10 ledova
12 13 ledova
20 18 ohniva
22 17 ohniva
11 15 ledova
12 19 ohniva
2 15 ohniva
20 17 ledova
15 3 ledova
17 5 ohniva
26 18 ledova
21 16 ledova
